Name,State,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
Alabama,AL,,494.0,2565.0,41879.0,117549.0,253532.0,342844.0,435081.0,996992.0,1262505.0,1513401.0,1828697.0,2138093.0,2348174.0,2646248.0,2832961.0,3061743.0,3266740,3444165,3893888,4040587,4447100,4779736,5024279
Alaska,AK,,,,,,,,,,33426.0,32052.0,63592.0,64356.0,55036.0,59278.0,72524.0,128643.0,226167,300382,401851,550043,626932,710231,733391
American Samoa,AS,,,,,,,,,,,,,,8056.0,10055.0,12908.0,24889.0,20051,27159,32297,46773,57291,55519,49710
Arizona,AZ,,,,,,,,,9658.0,40440.0,88243.0,122931.0,204354.0,334162.0,435573.0,499261.0,749587.0,1302161,1770900,2718215,3665228,5130632,6392017,7151502
Arkansas,AR,,,136.0,1617.0,4576.0,19935.0,47100.0,111115.0,484471.0,802525.0,1128211.0,1311564.0,1574449.0,1752204.0,1854482.0,1949387.0,1909511.0,1786272,1923295,2286435,2350725,2673400,2915918,3011524
California,CA,,,,,,,0.0,0.0,560247.0,864694.0,1213398.0,1485053.0,2377549.0,3426861.0,5677251.0,6907387.0,10586223.0,15717204,19953134,23667902,29760021,33871648,37253956,39538223
Colorado,CO,,,,,,,,0.0,39864.0,194327.0,413249.0,539700.0,799024.0,939629.0,1035791.0,1123296.0,1325089.0,1753947,2207259,2889964,3294394,4301261,5029196,5773714
Connecticut,CT,2764.0,951.0,310.0,97.0,25.0,17.0,0.0,0.0,537454.0,622700.0,746258.0,908420.0,1114756.0,1380631.0,1606903.0,1709242.0,2007280.0,2535234,3031709,3107576,3287116,3405565,3574097,3608298
Delaware,DE,8887.0,6153.0,4177.0,4509.0,3292.0,2605.0,2290.0,1798.0,125015.0,146608.0,168493.0,184735.0,202322.0,223003.0,238380.0,266505.0,318085.0,446292,548104,594338,666168,783600,897934,989948
District of Columbia,DC,,2072.0,3554.0,4520.0,4505.0,3320.0,3687.0,3185.0,131700.0,177624.0,230392.0,278718.0,331069.0,437571.0,486869.0,663091.0,802178.0,763956,756510,638333,606900,572059,601723,689545
Florida,FL,,,,,15501.0,25717.0,39310.0,61745.0,187748.0,269493.0,391422.0,528542.0,752619.0,968470.0,1468211.0,1897414.0,2771305.0,4951560,6789443,9746324,12937926,15982378,18801310,21538187
Georgia,GA,29264.0,59699.0,105218.0,149656.0,217531.0,280944.0,381682.0,462198.0,1184109.0,1542180.0,1837353.0,2216331.0,2609121.0,2895832.0,2908506.0,3123723.0,3444578.0,3943116,4589575,5463105,6478216,8186453,9687653,10711908
Guam,GU,,,,,,,,,,,,,11806.0,13275.0,18509.0,22290.0,59498.0,67044,84966,105979,133152,154805,159358,153836
Hawaii,HI,,,,,,,,,,,,154001.0,191874.0,255881.0,368300.0,422738.0,499794.0,632772,768561,964691,1108229,1211537,1360301,1455271
Idaho,ID,,,,,,,,,14999.0,32610.0,88548.0,161772.0,325594.0,431866.0,445032.0,524873.0,588637.0,667191,712567,943935,1006749,1293953,1567582,1839106
Illinois,IL,,107.0,168.0,917.0,747.0,331.0,0.0,0.0,2539891.0,3077871.0,3826352.0,4821550.0,5638591.0,6485280.0,7630654.0,7897241.0,8712176.0,10081158,11113976,11426518,11430602,12419293,12830632,12812508
Indiana,IN,,28.0,237.0,190.0,3.0,3.0,0.0,0.0,1680637.0,1978301.0,2192404.0,2516462.0,2700876.0,2930390.0,3238503.0,3427796.0,3934224.0,4662498,5193669,5490224,5544159,6080485,6483802,6785528
Iowa,IA,,,,,,16.0,0.0,0.0,1194020.0,1624615.0,1912297.0,2231853.0,2224771.0,2404021.0,2470939.0,2538268.0,2621073.0,2757537,2824376,2913808,2776755,2926324,3046355,3190369
Kansas,KS,,,,,,,,2.0,364399.0,996096.0,1428108.0,1470495.0,1690949.0,1769257.0,1880999.0,1801028.0,1905299.0,2178611,2246578,2363679,2477574,2688418,2853118,2937880
Kentucky,KY,12430.0,40343.0,80561.0,126732.0,165213.0,182258.0,210981.0,225483.0,1321011.0,1648690.0,1858635.0,2147174.0,2289905.0,2416630.0,2614589.0,2845627.0,2944806.0,3038156,3218706,3660777,3685296,4041769,4339367,4505836
Louisiana,LA,,,34660.0,69064.0,109588.0,168452.0,244809.0,331726.0,726915.0,939946.0,1118588.0,1381625.0,1656388.0,1798509.0,2101593.0,2363880.0,2683516.0,3257022,3641306,4205900,4219973,4468976,4533372,4657757
Maine,ME,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,626915.0,648936.0,661086.0,694466.0,742371.0,768014.0,797423.0,847226.0,913774.0,969265,992048,1124660,1227928,1274923,1328361,1362359
Maryland,MD,103036.0,105635.0,111502.0,107398.0,102994.0,89737.0,90368.0,87189.0,780894.0,934943.0,1042390.0,1188044.0,1295346.0,1449661.0,1631526.0,1821244.0,2343001.0,3100689,3922399,4216975,4781468,5296486,5773552,6177224
Massachusetts,MA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1457351.0,1783085.0,2238947.0,2805346.0,3366416.0,3852356.0,4249614.0,4316721.0,4690514.0,5148578,5689170,5737037,6016425,6349097,6547629,7029917
Michigan,MI,,0.0,24.0,0.0,1.0,0.0,0.0,0.0,1184059.0,1636937.0,2093890.0,2420982.0,2810173.0,3668412.0,4842325.0,5256106.0,6371766.0,7823194,8875083,9262078,9295297,9938444,9883640,10077331
Minnesota,MN,,,,,,,0.0,0.0,439706.0,780773.0,1310283.0,1751394.0,2075708.0,2387125.0,2563953.0,2792300.0,2982483.0,3413864,3804971,4075970,4375099,4919479,5303925,5706494
Mississippi,MS,,2995.0,14523.0,32814.0,65659.0,195211.0,309878.0,436631.0,827922.0,1131597.0,1289600.0,1551270.0,1797114.0,1790618.0,2009821.0,2183796.0,2178914.0,2178141,2216912,2520638,2573216,2844658,2967297,2961279
Missouri,MO,,,2875.0,10222.0,25091.0,58240.0,87422.0,114931.0,1721295.0,2168380.0,2679185.0,3106665.0,3293335.0,3404055.0,3629367.0,3784664.0,3954653.0,4319813,4676501,4916686,5117073,5595211,5988927,6154913
Montana,MT,,,,,,,,,20595.0,39159.0,142924.0,243329.0,376053.0,548889.0,537606.0,559456.0,591024.0,674767,694409,786690,799065,902195,989415,1084225
Nebraska,NE,,,,,,,,15.0,122993.0,452402.0,1062656.0,1066300.0,1192214.0,1296372.0,1377963.0,1315834.0,1325510.0,1411330,1483493,1569825,1578385,1711263,1826341,1961504
Nevada,NV,,,,,,,,0.0,42941.0,62266.0,47355.0,42335.0,81875.0,77407.0,91058.0,110247.0,160083.0,285278,488738,800493,1201833,1998257,2700551,3104614
New Hampshire,NH,158.0,8.0,0.0,0.0,3.0,1.0,0.0,0.0,318300.0,346991.0,376530.0,411588.0,430572.0,443083.0,465293.0,491524.0,533242.0,606921,737681,920610,1109252,1235786,1316470,1377529
New Jersey,NJ,11423.0,12422.0,10851.0,7557.0,2254.0,674.0,236.0,18.0,906096.0,1131116.0,1444933.0,1883669.0,2537167.0,3155900.0,4041334.0,4160165.0,4835329.0,6066782,7168164,7364823,7730188,8414350,8791894,9288994
New Mexico,NM,,,,,,,0.0,0.0,91874.0,119565.0,160282.0,195310.0,327301.0,360350.0,423317.0,531818.0,681187.0,951023,1016000,1302894,1515069,1819046,2059179,2117522
New York,NY,21324.0,20613.0,15017.0,10088.0,75.0,4.0,0.0,0.0,4382759.0,5082871.0,6003174.0,7268894.0,9113614.0,10385227.0,12588066.0,13479142.0,14830192.0,16782304,18236967,17558072,17990455,18976457,19378102,20201249
North Carolina,NC,100572.0,133296.0,168824.0,204917.0,245601.0,245817.0,288548.0,331059.0,1071361.0,1399750.0,1617949.0,1893810.0,2206287.0,2559123.0,3170276.0,3571623.0,4061929.0,4556155,5082059,5881766,6628637,8049313,9535483,10439388
